A1BG-AS1__chr19	NR_015380__chr19__1
MAP3K1__chr5	NM_005921__chr5__1
MAP3K2__chr2	NM_006609__chr2__1
MAP3K3__chr17	NM_002401__chr17__1|NM_203351__chr17__1
MAP3K4__chr6	NM_001291958__chr6__1|NM_001301072__chr6__1|NM_005922__chr6__1|NM_006724__chr6__1|NR_120425__chr6__1
MAP3K5__chr6	NM_005923__chr6__1
MAP3K6__chr1	NM_001297609__chr1__1|NM_004672__chr1__1
MAP3K7CL__chr21	NM_001286623__chr21__1|NM_001286617__chr21__1|NM_001286618__chr21__1|NM_001286622__chr21__1|NM_001286634__chr21__1|NM_020152__chr21__1|NM_001286619__chr21__1|NM_001286620__chr21__1|NM_001286624__chr21__1
MAP3K7__chr6	NM_003188__chr6__1|NM_145331__chr6__1|NM_145332__chr6__1|NM_145333__chr6__1
MAP3K8__chr10	NM_001244134__chr10__1|NM_005204__chr10__1|NM_001320961__chr10__1
MAP3K9__chr14	NM_001284231__chr14__1|NM_001284232__chr14__1|NM_001284230__chr14__1|NM_033141__chr14__1
MAP4K1__chr19	NM_001042600__chr19__1|NM_007181__chr19__1
MAP4K2__chr11	NM_001307990__chr11__1|NM_004579__chr11__1
MAP4K3__chr2	NM_001270425__chr2__1|NM_003618__chr2__1
MAP4K4__chr2	NM_001242560__chr2__1|NM_004834__chr2__1|NM_145686__chr2__1|NM_001242559__chr2__1|NM_145687__chr2__1
MAP4K5__chr14	NM_006575__chr14__1|NM_198794__chr14__1
MAP4__chr3	NM_001134364__chr3__1|NM_002375__chr3__1|NM_030885__chr3__1
MAP6D1__chr3	NM_024871__chr3__1
MAP6__chr11	NM_033063__chr11__1|NM_207577__chr11__1
MAP7D1__chr1	NM_001286365__chr1__1|NM_001286366__chr1__1|NM_018067__chr1__1
MAP7D2__chrX	NM_001168467__chrX__1|NM_001168465__chrX__1|NM_001168466__chrX__1|NM_152780__chrX__1
MAP7D3__chrX	NM_001173517__chrX__1|NM_024597__chrX__1|NM_001173516__chrX__1
MAP7__chr6	NM_001198615__chr6__1|NM_001198608__chr6__1|NM_001198609__chr6__1|NM_001198611__chr6__1|NM_001198614__chr6__1|NM_001198618__chr6__1|NM_001198619__chr6__1|NM_001198616__chr6__1|NM_001198617__chr6__1|NM_003980__chr6__1
MAP9__chr4	NM_001039580__chr4__1
MAPK10__chr4	NM_001318067__chr4__1|NM_001318069__chr4__1|NM_138980__chr4__1|NM_138982__chr4__1|NM_001318068__chr4__1|NM_002753__chr4__1
MAPK11__chr22	NM_002751__chr22__1|NR_110887__chr22__1
MAPK12__chr22	NM_001303252__chr22__1|NM_002969__chr22__1
MAPK13__chr6	NM_002754__chr6__1|NR_072996__chr6__1
MAPK14__chr6	NM_139013__chr6__1|NM_001315__chr6__1|NM_139012__chr6__1|NM_139014__chr6__1
MAPK15__chr8	NM_139021__chr8__1
MAPK15__chr8_KI270816v1_alt	NM_139021__chr8_KI270816v1_alt__1
MAPK1IP1L__chr14	NM_144578__chr14__1
MAPK1__chr22	NM_002745__chr22__1|NM_138957__chr22__1
MAPK3__chr16	NM_001109891__chr16__1|NM_002746__chr16__1|NM_001040056__chr16__1
MAPK4__chr18	NM_001292039__chr18__1|NM_001292040__chr18__1|NM_002747__chr18__1
MAPK6__chr15	NM_002748__chr15__1
MAPK7__chr17	NM_139032__chr17__1|NM_139033__chr17__1|NM_002749__chr17__1|NM_139034__chr17__1
MAPK8IP1__chr11	NM_005456__chr11__1
MAPK8IP2__chr22	NM_012324__chr22__1
MAPK8IP3__chr16	NM_001318852__chr16__1|NM_015133__chr16__1|NM_001040439__chr16__1
MAPK8__chr10	NM_001278547__chr10__1|NM_001323302__chr10__1|NM_001323320__chr10__1|NM_001323321__chr10__1|NM_001323322__chr10__1|NM_001323323__chr10__1|NM_001323324__chr10__1|NM_001323325__chr10__1|NM_001323326__chr10__1|NM_001323327__chr10__1|NM_001323328__chr10__1|NM_001323329__chr10__1|NM_001323330__chr10__1|NM_001323331__chr10__1|NM_139046__chr10__1|NM_139049__chr10__1|NR_136583__chr10__1|NR_136585__chr10__1|NR_136584__chr10__1|NM_001278548__chr10__1|NM_002750__chr10__1
MAPK9__chr5	NM_002752__chr5__1|NM_139068__chr5__1|NM_139069__chr5__1|NM_139070__chr5__1|NM_001308244__chr5__1|NM_001135044__chr5__1
MAPKAP1__chr9	NM_001006617__chr9__1|NM_001006619__chr9__1|NM_001006620__chr9__1|NM_001006621__chr9__1|NM_024117__chr9__1|NM_001006618__chr9__1
MAPKAPK2__chr1	NM_004759__chr1__1|NM_032960__chr1__1
MAPKAPK3__chr3	NM_001243926__chr3__1|NM_001243925__chr3__1|NM_004635__chr3__1
MAPKAPK5-AS1__chr12	NR_015404__chr12__1
MAPKAPK5__chr12	NM_003668__chr12__1|NM_139078__chr12__1
MAPKBP1__chr15	NM_001128608__chr15__1|NM_001265611__chr15__1|NM_014994__chr15__1|NR_049761__chr15__1|NR_049762__chr15__1
MAPRE1__chr20	NM_012325__chr20__1
MAPRE2__chr18	NM_001143826__chr18__1|NM_001143827__chr18__1|NM_001256420__chr18__1|NM_014268__chr18__1|NR_046177__chr18__1
MAPRE3__chr2	NM_012326__chr2__1|NM_001303050__chr2__1
MAPT-AS1__chr17	NR_024559__chr17__1
MAPT-AS1__chr17_GL000258v2_alt	NR_024559__chr17_GL000258v2_alt__1
MAPT-AS1__chr17_KI270908v1_alt	NR_024559__chr17_KI270908v1_alt__1
MAPT-IT1__chr17	NR_024560__chr17__1
MAPT-IT1__chr17_GL000258v2_alt	NR_024560__chr17_GL000258v2_alt__1
MAPT-IT1__chr17_KI270908v1_alt	NR_024560__chr17_KI270908v1_alt__1
MAPT__chr17	NM_001123066__chr17__1|NM_001123067__chr17__1|NM_001203251__chr17__1|NM_001203252__chr17__1|NM_005910__chr17__1|NM_016834__chr17__1|NM_016835__chr17__1|NM_016841__chr17__1
MAPT__chr17_GL000258v2_alt	NM_001123066__chr17_GL000258v2_alt__1|NM_001123067__chr17_GL000258v2_alt__1|NM_001203251__chr17_GL000258v2_alt__1|NM_001203252__chr17_GL000258v2_alt__1|NM_005910__chr17_GL000258v2_alt__1|NM_016834__chr17_GL000258v2_alt__1|NM_016835__chr17_GL000258v2_alt__1|NM_016841__chr17_GL000258v2_alt__1
MAPT__chr17_KI270908v1_alt	NM_001123066__chr17_KI270908v1_alt__1|NM_001123067__chr17_KI270908v1_alt__1|NM_001203251__chr17_KI270908v1_alt__1|NM_001203252__chr17_KI270908v1_alt__1|NM_005910__chr17_KI270908v1_alt__1|NM_016834__chr17_KI270908v1_alt__1|NM_016835__chr17_KI270908v1_alt__1|NM_016841__chr17_KI270908v1_alt__1
MARC1__chr1	NM_022746__chr1__1
MARC2__chr1	NM_001317338__chr1__1|NM_017898__chr1__1
MARCH10__chr17	NM_001100875__chr17__1|NM_001288779__chr17__1|NM_152598__chr17__1|NM_001288780__chr17__1
MARCH11__chr5	NM_001102562__chr5__1
MARCH1__chr4	NM_017923__chr4__1|NM_001166373__chr4__1
MARCH2__chr19	NM_001005415__chr19__1|NM_001005416__chr19__1|NM_016496__chr19__1
MARCH3__chr5	NM_178450__chr5__1
MARCH4__chr2	NM_020814__chr2__1
MARCH5__chr10	NM_017824__chr10__1
MARCH6__chr5	NM_001270660__chr5__1|NM_001270661__chr5__1|NM_005885__chr5__1
MARCH7__chr2	NM_001282805__chr2__1|NM_001282806__chr2__1|NM_022826__chr2__1|NM_001282807__chr2__1
MARCH8__chr10	NM_001002266__chr10__1|NM_001282866__chr10__1|NM_145021__chr10__1
MARCH8__chr10_GL383546v1_alt	NM_001002266__chr10_GL383546v1_alt__1|NM_001282866__chr10_GL383546v1_alt__1|NM_145021__chr10_GL383546v1_alt__1
MARCH9__chr12	NM_138396__chr12__1
MARCKSL1__chr1	NM_023009__chr1__1|NR_052852__chr1__1
MARCKS__chr6	NM_002356__chr6__1
MARCO__chr2	NM_006770__chr2__1
MARK1__chr1	NM_001286124__chr1__1|NM_001286126__chr1__1|NM_001286128__chr1__1|NM_018650__chr1__1|NM_001286129__chr1__1
MARK2P9__chr10	NR_038243__chr10__1
MARK2__chr11	NM_001039469__chr11__1|NM_001163296__chr11__1|NM_001163297__chr11__1|NM_004954__chr11__1|NM_017490__chr11__1
MARK3__chr14	NM_001128918__chr14__1|NM_001128919__chr14__1|NM_001128920__chr14__1|NM_001128921__chr14__1|NM_002376__chr14__1
MARK4__chr19	NM_001199867__chr19__1|NM_031417__chr19__1
MARS2__chr2	NM_138395__chr2__1
MARS__chr12	NM_004990__chr12__1
MARVELD1__chr10	NM_031484__chr10__1
MARVELD2__chr5	NM_001038603__chr5__1|NM_001244734__chr5__1
MARVELD2__chr5_GL339449v2_alt	NM_001038603__chr5_GL339449v2_alt__1|NM_001244734__chr5_GL339449v2_alt__1
MARVELD3__chr16	NM_052858__chr16__1|NM_001017967__chr16__1|NM_001271329__chr16__1
MAS1L__chr6	NM_052967__chr6__1
MAS1L__chr6_GL000250v2_alt	NM_052967__chr6_GL000250v2_alt__1
MAS1L__chr6_GL000251v2_alt	NM_052967__chr6_GL000251v2_alt__1
MAS1L__chr6_GL000252v2_alt	NM_052967__chr6_GL000252v2_alt__1
MAS1L__chr6_GL000253v2_alt	NM_052967__chr6_GL000253v2_alt__1
MAS1L__chr6_GL000254v2_alt	NM_052967__chr6_GL000254v2_alt__1
MAS1L__chr6_GL000255v2_alt	NM_052967__chr6_GL000255v2_alt__1
MAS1L__chr6_GL000256v2_alt	NM_052967__chr6_GL000256v2_alt__1
MAS1__chr6	NM_002377__chr6__1
MASP1__chr3	NM_001879__chr3__1|NM_139125__chr3__1|NR_033519__chr3__1|NM_001031849__chr3__1
MASP2__chr1	NM_006610__chr1__1|NM_139208__chr1__1
MAST1__chr19	NM_014975__chr19__1
MAST2__chr1	NM_001319245__chr1__1|NM_015112__chr1__1|NM_001324320__chr1__1|NM_001324321__chr1__1
MAST3__chr19	NM_015016__chr19__1
MAST4__chr5	NM_001164664__chr5__1|NM_015183__chr5__1|NM_001290226__chr5__1|NM_001290227__chr5__1|NM_001297651__chr5__1|NM_001290228__chr5__1|NM_198828__chr5__1
MASTL__chr10	NM_001172303__chr10__1|NM_001172304__chr10__1|NM_001320756__chr10__1|NM_001320757__chr10__1|NM_032844__chr10__1|NR_135469__chr10__1
MAT1A__chr10	NM_000429__chr10__1
MAT2A__chr2	NM_005911__chr2__1
MAT2B__chr5	NM_182796__chr5__1|NM_013283__chr5__1
MATK__chr19	NM_002378__chr19__1|NM_139354__chr19__1|NM_139355__chr19__1
MATN1-AS1__chr1	NR_034182__chr1__1
MATN1__chr1	NM_002379__chr1__1
MATN2__chr8	NM_001317748__chr8__1|NM_002380__chr8__1|NM_030583__chr8__1
MATN3__chr2	NM_002381__chr2__1
MATN4__chr20	NM_030592__chr20__1|NM_030590__chr20__1|NM_003833__chr20__1
MATR3__chr5	NM_001194954__chr5__1|NM_001282278__chr5__1|NM_199189__chr5__1|NM_018834__chr5__1|NM_001194955__chr5__1|NM_001194956__chr5__1
MAU2__chr19	NM_015329__chr19__1
MAVS__chr20	NM_001206491__chr20__1|NM_020746__chr20__1|NR_037921__chr20__1
MAX__chr14	NM_001271069__chr14__1|NM_197957__chr14__1|NM_001320415__chr14__1|NM_002382__chr14__1|NM_145112__chr14__1|NM_145113__chr14__1|NR_073137__chr14__1|NM_001271068__chr14__1|NM_145114__chr14__1|NR_073138__chr14__1
MAZ__chr16	NM_001276275__chr16__1|NM_001042539__chr16__1|NM_001276276__chr16__1|NM_002383__chr16__1|NR_074080__chr16__1
MB21D1__chr6	NM_138441__chr6__1
MB21D2__chr3	NM_178496__chr3__1
MBD1__chr18	NM_001204139__chr18__1|NM_001204141__chr18__1|NM_001204143__chr18__1|NM_001204136__chr18__1|NM_001204142__chr18__1|NM_002384__chr18__1|NM_015844__chr18__1|NM_015845__chr18__1|NM_015846__chr18__1|NM_015847__chr18__1|NM_001204137__chr18__1|NM_001204138__chr18__1|NM_001204140__chr18__1|NM_001204151__chr18__1|NM_001323951__chr18__1|NM_001323953__chr18__1|NM_001323942__chr18__1|NM_001323947__chr18__1|NM_001323949__chr18__1|NM_001323950__chr18__1|NM_001323952__chr18__1|NM_001323954__chr18__1
MBD2__chr18	NM_003927__chr18__1|NM_015832__chr18__1
MBD3L1__chr19	NM_145208__chr19__1
MBD3L2__chr19	NM_144614__chr19__1
MBD3L3__chr19	NM_001164425__chr19__1
MBD3L4__chr19	NM_001164419__chr19__1
MBD3L5__chr19	NM_001136507__chr19__1
MBD3__chr19	NM_001281453__chr19__1|NM_001281454__chr19__1
MBD4__chr3	NM_001276270__chr3__1|NM_001276272__chr3__1|NM_001276273__chr3__1|NM_003925__chr3__1|NM_001276271__chr3__1
MBD5__chr2	NM_018328__chr2__1
MBD6__chr12	NM_052897__chr12__1
MBIP__chr14	NM_001144891__chr14__1|NM_001308110__chr14__1|NM_016586__chr14__1
MBL1P__chr10	NR_002724__chr10__1
MBL2__chr10	NM_000242__chr10__1
MBLAC1__chr7	NM_203397__chr7__1
MBLAC2__chr5	NM_203406__chr5__1
MBNL1-AS1__chr3	NR_027037__chr3__1|NR_027038__chr3__1
MBNL1__chr3	NM_001314057__chr3__1|NM_021038__chr3__1|NM_207292__chr3__1|NM_207293__chr3__1|NM_207294__chr3__1|NM_207295__chr3__1|NM_207296__chr3__1|NM_207297__chr3__1
MBNL2__chr13	NM_001306070__chr13__1|NM_144778__chr13__1|NM_207304__chr13__1
MBNL3__chrX	NM_001170701__chrX__1|NM_001170702__chrX__1|NM_001170703__chrX__1|NM_018388__chrX__1|NM_133486__chrX__1|NM_001170704__chrX__1
MBOAT1__chr6	NM_001080480__chr6__1|NR_073465__chr6__1
MBOAT2__chr2	NM_001321265__chr2__1|NM_001321266__chr2__1|NM_001321267__chr2__1|NM_138799__chr2__1|NR_135598__chr2__1|NR_135599__chr2__1|NR_135600__chr2__1|NR_135601__chr2__1|NR_135602__chr2__1|NR_135603__chr2__1|NR_135604__chr2__1|NR_135606__chr2__1|NR_135605__chr2__1
MBOAT4__chr8	NM_001100916__chr8__1
MBOAT7__chr19	NM_001146056__chr19__1|NM_001146083__chr19__1|NM_024298__chr19__1|NM_001146082__chr19__1
MBOAT7__chr19_GL949746v1_alt	NM_001146056__chr19_GL949746v1_alt__1|NM_001146083__chr19_GL949746v1_alt__1|NM_024298__chr19_GL949746v1_alt__1|NM_001146082__chr19_GL949746v1_alt__1
MBOAT7__chr19_GL949747v2_alt	NM_001146056__chr19_GL949747v2_alt__1|NM_001146083__chr19_GL949747v2_alt__1|NM_024298__chr19_GL949747v2_alt__1|NM_001146082__chr19_GL949747v2_alt__1
MBOAT7__chr19_GL949748v2_alt	NM_001146056__chr19_GL949748v2_alt__1|NM_001146083__chr19_GL949748v2_alt__1|NM_024298__chr19_GL949748v2_alt__1|NM_001146082__chr19_GL949748v2_alt__1
MBOAT7__chr19_GL949749v2_alt	NM_001146056__chr19_GL949749v2_alt__1|NM_001146083__chr19_GL949749v2_alt__1|NM_024298__chr19_GL949749v2_alt__1|NM_001146082__chr19_GL949749v2_alt__1
MBOAT7__chr19_GL949750v2_alt	NM_001146056__chr19_GL949750v2_alt__1|NM_001146083__chr19_GL949750v2_alt__1|NM_024298__chr19_GL949750v2_alt__1|NM_001146082__chr19_GL949750v2_alt__1
MBOAT7__chr19_GL949751v2_alt	NM_001146056__chr19_GL949751v2_alt__1|NM_001146083__chr19_GL949751v2_alt__1|NM_024298__chr19_GL949751v2_alt__1|NM_001146082__chr19_GL949751v2_alt__1
MBOAT7__chr19_GL949752v1_alt	NM_001146056__chr19_GL949752v1_alt__1|NM_001146083__chr19_GL949752v1_alt__1|NM_024298__chr19_GL949752v1_alt__1|NM_001146082__chr19_GL949752v1_alt__1
MBOAT7__chr19_GL949753v2_alt	NM_001146056__chr19_GL949753v2_alt__1|NM_001146083__chr19_GL949753v2_alt__1|NM_024298__chr19_GL949753v2_alt__1|NM_001146082__chr19_GL949753v2_alt__1
MBOAT7__chr19_KI270938v1_alt	NM_001146056__chr19_KI270938v1_alt__1|NM_001146083__chr19_KI270938v1_alt__1|NM_024298__chr19_KI270938v1_alt__1|NM_001146082__chr19_KI270938v1_alt__1
MBP__chr18	NM_001025101__chr18__1|NM_001025100__chr18__1|NM_001025081__chr18__1|NM_001025090__chr18__1|NM_001025092__chr18__1|NM_002385__chr18__1
MBTD1__chr17	NM_017643__chr17__1
MBTPS1__chr16	NM_003791__chr16__1
MBTPS2__chrX	NM_015884__chrX__1
MB__chr22	NM_005368__chr22__1|NM_203378__chr22__1|NM_203377__chr22__1
MC1R__chr16	NM_002386__chr16__1
MC2R__chr18	NM_000529__chr18__1|NM_001291911__chr18__1
MC3R__chr20	NM_019888__chr20__1
MC4R__chr18	NM_005912__chr18__1
MC5R__chr18	NM_005913__chr18__1
MCAM__chr11	NM_006500__chr11__1
MCAT__chr22	NM_014507__chr22__1|NM_173467__chr22__1|NR_046423__chr22__1
MCCC1__chr3	NR_120640__chr3__1|NM_001293273__chr3__1|NM_020166__chr3__1|NR_120639__chr3__1
MCCC2__chr5	NM_022132__chr5__1
MCCD1__chr6	NM_001011700__chr6__1
MCCD1__chr6_GL000250v2_alt	NM_001011700__chr6_GL000250v2_alt__1
MCCD1__chr6_GL000251v2_alt	NM_001011700__chr6_GL000251v2_alt__1
MCCD1__chr6_GL000252v2_alt	NM_001011700__chr6_GL000252v2_alt__1
MCCD1__chr6_GL000253v2_alt	NM_001011700__chr6_GL000253v2_alt__1
MCCD1__chr6_GL000254v2_alt	NM_001011700__chr6_GL000254v2_alt__1
MCCD1__chr6_GL000255v2_alt	NM_001011700__chr6_GL000255v2_alt__1
MCCD1__chr6_GL000256v2_alt	NM_001011700__chr6_GL000256v2_alt__1
MCC__chr5	NM_002387__chr5__1|NM_001085377__chr5__1
MCEE__chr2	NM_032601__chr2__1
MCEMP1__chr19	NM_174918__chr19__1
MCF2L-AS1__chr13	NR_034002__chr13__1
MCF2L2__chr3	NM_015078__chr3__1
MCF2L__chr13	NM_001112732__chr13__1|NM_001320816__chr13__1|NM_001320817__chr13__1|NM_001320815__chr13__1|NM_024979__chr13__1
MCF2__chrX	NM_001171877__chrX__1|NM_001171878__chrX__1|NM_001171879__chrX__1|NM_005369__chrX__1|NM_001099855__chrX__1|NM_001171876__chrX__1
MCFD2__chr2	NM_001171508__chr2__1|NM_001171511__chr2__1|NM_001171506__chr2__1|NM_001171509__chr2__1|NM_139279__chr2__1|NM_001171507__chr2__1|NM_001171510__chr2__1
MCHR1__chr22	NM_005297__chr22__1
MCHR2-AS1__chr6	NR_038384__chr6__1
MCHR2__chr6	NM_001040179__chr6__1|NM_032503__chr6__1
MCIDAS__chr5	NM_001190787__chr5__1
MCL1__chr1	NM_001197320__chr1__1|NM_021960__chr1__1|NM_182763__chr1__1
MCM10__chr10	NM_018518__chr10__1|NM_182751__chr10__1
MCM2__chr3	NM_004526__chr3__1|NR_073375__chr3__1
MCM3AP-AS1__chr21	NR_110566__chr21__1|NR_110567__chr21__1|NR_002776__chr21__1|NR_110565__chr21__1
MCM3AP__chr21	NM_003906__chr21__1
MCM3__chr6	NM_001270472__chr6__1|NM_002388__chr6__1
MCM4__chr8	NM_005914__chr8__1|NM_182746__chr8__1
MCM5__chr22	NM_006739__chr22__1
MCM6__chr2	NM_005915__chr2__1
MCM7__chr7	NM_182776__chr7__1|NM_001278595__chr7__1|NM_005916__chr7__1
MCM8-AS1__chr20	NR_110101__chr20__1
MCM8__chr20	NM_001281520__chr20__1|NM_001281521__chr20__1|NM_001281522__chr20__1|NM_032485__chr20__1|NM_182802__chr20__1
MCM9__chr6	NM_017696__chr6__1|NM_153255__chr6__1
MCMBP__chr10	NM_001256378__chr10__1|NM_024834__chr10__1|NM_001256379__chr10__1
MCMDC2__chr8	NM_001136161__chr8__1|NM_173518__chr8__1|NM_001136160__chr8__1
MCOLN1__chr19	NM_020533__chr19__1
MCOLN2__chr1	NM_153259__chr1__1
MCOLN3__chr1	NM_001253693__chr1__1|NM_018298__chr1__1
MCPH1-AS1__chr8	NR_125386__chr8__1
MCPH1__chr8	NM_001172574__chr8__1|NM_001172575__chr8__1|NM_001322043__chr8__1|NM_001322042__chr8__1|NM_024596__chr8__1|NM_001322045__chr8__1|NR_136159__chr8__1
MCRIP1__chr17	NM_001093767__chr17__1|NM_001288798__chr17__1|NM_001288799__chr17__1|NM_207368__chr17__1
MCRIP2__chr16	NM_138418__chr16__1
MCRS1__chr12	NM_001278341__chr12__1|NM_006337__chr12__1|NM_001012300__chr12__1
MCTP1__chr5	NM_001002796__chr5__1|NM_001297777__chr5__1|NM_024717__chr5__1
MCTP2__chr15	NM_001159643__chr15__1|NM_018349__chr15__1|NM_001159644__chr15__1
MCTS1__chrX	NM_014060__chrX__1|NM_001137554__chrX__1
MCUR1__chr6	NM_001031713__chr6__1
MCU__chr10	NM_001270679__chr10__1|NM_138357__chr10__1|NR_073062__chr10__1|NM_001270680__chr10__1
MDC1-AS1__chr6	NR_133647__chr6__1
MDC1-AS1__chr6_GL000250v2_alt	NR_133647__chr6_GL000250v2_alt__1
MDC1-AS1__chr6_GL000251v2_alt	NR_133647__chr6_GL000251v2_alt__1
MDC1-AS1__chr6_GL000252v2_alt	NR_133647__chr6_GL000252v2_alt__1
MDC1-AS1__chr6_GL000253v2_alt	NR_133647__chr6_GL000253v2_alt__1
MDC1-AS1__chr6_GL000254v2_alt	NR_133647__chr6_GL000254v2_alt__1
MDC1-AS1__chr6_GL000255v2_alt	NR_133647__chr6_GL000255v2_alt__1
MDC1-AS1__chr6_GL000256v2_alt	NR_133647__chr6_GL000256v2_alt__1
MDC1__chr6	NM_014641__chr6__1
MDC1__chr6_GL000250v2_alt	NM_014641__chr6_GL000250v2_alt__1
MDC1__chr6_GL000251v2_alt	NM_014641__chr6_GL000251v2_alt__1
MDC1__chr6_GL000252v2_alt	NM_014641__chr6_GL000252v2_alt__1
MDC1__chr6_GL000253v2_alt	NM_014641__chr6_GL000253v2_alt__1
MDC1__chr6_GL000254v2_alt	NM_014641__chr6_GL000254v2_alt__1
MDC1__chr6_GL000255v2_alt	NM_014641__chr6_GL000255v2_alt__1
MDC1__chr6_GL000256v2_alt	NM_014641__chr6_GL000256v2_alt__1
MDFIC__chr7	NM_001166345__chr7__1|NM_199072__chr7__1|NM_001166346__chr7__1
MDFI__chr6	NM_001300804__chr6__1|NM_001300805__chr6__1|NM_001300806__chr6__1|NM_005586__chr6__1
MDGA1__chr6	NM_153487__chr6__1
MDGA2__chr14	NM_182830__chr14__1|NM_001113498__chr14__1|NR_103766__chr14__1
MDH1B__chr2	NM_001039845__chr2__1|NM_001282940__chr2__1|NR_104261__chr2__1
MDH1__chr2	NM_001316374__chr2__1|NM_005917__chr2__1|NM_001199111__chr2__1|NM_001199112__chr2__1
MDH2__chr7	NR_104165__chr7__1|NM_001282403__chr7__1|NM_001282404__chr7__1|NM_005918__chr7__1
MDK__chr11	NM_001270550__chr11__1|NM_001012334__chr11__1|NM_001270552__chr11__1|NM_002391__chr11__1|NR_073039__chr11__1|NM_001012333__chr11__1|NM_001270551__chr11__1
MDM1__chr12	NM_001205028__chr12__1|NM_017440__chr12__1|NM_001205029__chr12__1|NM_020128__chr12__1
MDM2__chr12	NM_001145339__chr12__1|NM_002392__chr12__1|NM_001145337__chr12__1|NM_001145340__chr12__1|NM_001278462__chr12__1
MDM4__chr1	NM_001204171__chr1__1|NM_001204172__chr1__1|NM_001278516__chr1__1|NM_001278517__chr1__1|NM_001278518__chr1__1|NM_001278519__chr1__1|NM_002393__chr1__1
MDN1__chr6	NM_014611__chr6__1
MDP1__chr14	NM_001199821__chr14__1|NM_001199822__chr14__1|NM_138476__chr14__1
MDS2__chr1	NR_027042__chr1__1
ME1__chr6	NM_002395__chr6__1
ME2__chr18	NM_001168335__chr18__1|NM_002396__chr18__1
ME3__chr11	NM_001014811__chr11__1|NM_006680__chr11__1|NM_001161586__chr11__1
MEA1__chr6	NM_014623__chr6__1|NM_001318942__chr6__1|NM_001318943__chr6__1
MEAF6__chr1	NM_001270875__chr1__1|NM_001270876__chr1__1|NM_022756__chr1__1|NR_073090__chr1__1|NR_073091__chr1__1|NR_073092__chr1__1
MEAT6__chr6	NR_131926__chr6__1
MECOM__chr3	NM_001205194__chr3__1|NM_004991__chr3__1|NM_001105077__chr3__1|NM_001163999__chr3__1|NM_005241__chr3__1|NM_001105078__chr3__1|NM_001164000__chr3__1
MECP2__chrX	NM_004992__chrX__1|NM_001110792__chrX__1|NM_001316337__chrX__1
MECR__chr1	NM_001024732__chr1__1|NM_016011__chr1__1
MED10__chr5	NM_032286__chr5__1
MED11__chr17	NM_001001683__chr17__1|NM_001305000__chr17__1
MED12L__chr3	NM_053002__chr3__1
MED12__chrX	NM_005120__chrX__1
MED13L__chr12	NM_015335__chr12__1
MED13__chr17	NM_005121__chr17__1
MED14OS__chrX	NM_001289773__chrX__1
MED14__chrX	NM_004229__chrX__1
MED15P9__chr2	NR_033903__chr2__1
MED15__chr22	NM_001003891__chr22__1|NM_001293234__chr22__1|NM_001293235__chr22__1|NM_001293236__chr22__1|NM_015889__chr22__1|NM_001293237__chr22__1
MED16__chr19	NM_005481__chr19__1
MED16__chr19_KI270868v1_alt	NM_005481__chr19_KI270868v1_alt__1
MED17__chr11	NM_004268__chr11__1
MED18__chr1	NM_001127350__chr1__1|NM_017638__chr1__1
MED19__chr11	NM_001317078__chr11__1|NM_153450__chr11__1
MED1__chr17	NM_004774__chr17__1
MED20__chr6	NM_001305456__chr6__1|NM_001305455__chr6__1|NM_001305457__chr6__1|NM_004275__chr6__1|NR_131160__chr6__1
MED21__chr12	NM_001271811__chr12__1|NM_004264__chr12__1|NR_073463__chr12__1|NR_073464__chr12__1
MED22__chr9	NM_133640__chr9__1|NM_181491__chr9__1
MED23__chr6	NM_001270521__chr6__1|NM_015979__chr6__1|NM_001270522__chr6__1|NM_004830__chr6__1
MED24__chr17	NM_001079518__chr17__1|NM_001267797__chr17__1|NM_014815__chr17__1|NR_052017__chr17__1
MED25__chr19	NM_030973__chr19__1
MED26__chr19	NM_004831__chr19__1
MED27__chr9	NM_001253881__chr9__1|NM_004269__chr9__1|NM_001253882__chr9__1
MED28__chr4	NM_025205__chr4__1
MED29__chr19	NM_001317770__chr19__1|NM_017592__chr19__1|NR_133915__chr19__1
MED30__chr8	NM_001282986__chr8__1|NM_080651__chr8__1
MED31__chr17	NM_016060__chr17__1
MED4-AS1__chr13	NR_046511__chr13__1
MED4__chr13	NM_001270629__chr13__1|NM_014166__chr13__1
MED6__chr14	NM_001284209__chr14__1|NM_001284210__chr14__1|NM_001284211__chr14__1|NM_005466__chr14__1
MED7__chr5	NM_001100816__chr5__1|NM_004270__chr5__1
MED8__chr1	NM_001001653__chr1__1|NM_052877__chr1__1|NM_201542__chr1__1
MED9__chr17	NM_018019__chr17__1
MEDAG__chr13	NM_032849__chr13__1
MEF2A__chr15	NM_001130926__chr15__1|NM_001130927__chr15__1|NM_001171894__chr15__1|NM_001319206__chr15__1|NM_005587__chr15__1|NM_001130928__chr15__1
MEF2B__chr19	NM_001145785__chr19__1
MEF2C-AS1__chr5	NR_136218__chr5__1|NR_136219__chr5__1|NR_136217__chr5__1|NR_136222__chr5__1|NR_136220__chr5__1|NR_136221__chr5__1|NR_109941__chr5__1|NR_109940__chr5__1|NR_104031__chr5__1
MEF2C__chr5	NM_001193348__chr5__1|NM_001193349__chr5__1|NM_001308002__chr5__1|NM_001193350__chr5__1|NM_002397__chr5__1|NM_001131005__chr5__1|NM_001193347__chr5__1
MEF2D__chr1	NM_005920__chr1__1|NM_001271629__chr1__1
